"id","description","latitude","longitude"
631,,49.172165,18.581593
632,,50.772036,15.084435
633,,49.613345,13.49756
634,,49.718001,13.381954
635,,49.7414,13.381015
637,,49.730679,13.381552
638,,37.750765,-119.5924
639,,50.53479,15.032151
640,,50.528426,13.763344
641,,50.61234,16.112424
642,,50.569228,15.167763
644,,50.795133,14.044181
645,,50.579612,16.142773
646,,50.805114,14.050468
647,,50.80506,14.050443
648,,50.871276,15.258009
650,,36.915176,-4.750814
651,,50.636782,15.211808
652,,50.800958,14.054023
653,,50.875785,15.871328
654,,50.624401,16.125927
655,,50.580736,15.618822
656,,50.580573,15.618691
657,,50.532225,15.034016
658,,50.102871,14.321703
659,,50.725033,15.06681
660,,50.661945,15.130235
661,,50.625342,15.20542
